Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Quantifying FAIR: automated metadata improvement and guidance in the DataONE repository network","DataONE services provide quantitative guidance on metadata completeness and effectiveness relative to FAIR principles, improving findability and accessibility while focusing less on interoperable and reusable aspects.","Matthew B. Jones, P. Slaughter, T. Habermann",2019,5,"DataONE has consistently focused on interoperability among data repositories to enable seamless access to well-described data on the Earth and the environment. Our existing services promote data discovery and access through harmonization of the diverse metadata specifications used across communities, and through our integrated data search portal and services. In terms of the FAIR principles, we have done a good job at Findable and Accessible, while as a community we have placed less emphasis on Interoperable and Reusable. We present new DataONE services for quantitatively providing guidance on metadata completeness and effectiveness relative to the FAIR principles. The services produce guidance for FAIRness at both the level of an individual data set and trends through time for repository, user, and funder data collections. These analytical results regarding conformance to FAIR principles are preliminary and based on proposed quantitative assessment metrics for FAIR which will be changed with input from the community. The current statistics are based on version 0.2.0 of the DataONE FAIR suite. Thus, these results should not be viewed as conclusive about the data sets presented, but rather illustrate the types of quantitative comparisons that will be able to be made when the FAIR metrics at DataONE have been finalized.","","","","10.5281/ZENODO.3408465","https://consensus.app/papers/quantifying-fair-automated-metadata-improvement-and-habermann-slaughter/8abba2655f3a592e809ebed1a2533525/"
"Principles of Tax on Data Goods of B2C in Online Download Cross-border","Fairness is the basic principle for taxing B2C online data goods cross-border, followed by efficiency, ability-to-pay, and residence and source principles.","Ye Nan",2009,0,"Market size of the data goods of B2C online download cross-border is becoming larger in the world,and tax issues are also increasingly prominent.So it's very necessary to consider tax principles.Fair principle is the basic principle of tax on data goods of B2C online download cross-border,because without fair principle,there is no reason and need to tax on data goods of B2C online download cross-border.Efficiency principle,ability-to-pay principle,and residence and source principle low a rank in tax principles,in which the ability-to-pay principle is a development of fair principle.","","","","","https://consensus.app/papers/principles-of-tax-on-data-goods-of-b2c-in-online-download-nan/d7561d018a9558c5a61d45858649dd5a/"
"Peer Review #2 of ""Towards FAIR protocols and workflows: the OpenPREDICT use case (v0.1)""","Applying FAIR principles to workflows and protocols, such as the PREDICT drug repurposing workflow, significantly enhances their openness and usefulness for researchers.","",2020,0,"It is essential for the advancement of science that researchers share, reuse and reproduce each others workflows and protocols.The FAIR principles are a set of guidelines that aim to maximize the value and usefulness of research data, and emphasize a number of important points regarding the means by which digital objects are found and reused by others.The question of how to apply these principles not just to data but also to the workflows and protocols that consume and produce them is still under debate and poses a number of challenges.In this paper we describe an inclusive and overarching approach to apply the FAIR principles to workflows and protocols and demonstrate its benefits.We apply and evaluate our approach to make the PREDICT workflow, a highly cited drug repurposing workflow, open and FAIR.This includes FAIRification of the involved datasets, as well as applying semantic technologies to represent and store data about the detailed versions of the general protocol, of the concrete workflow instructions, and of their execution traces.A semantic model was proposed to better address these specific requirements and was evaluated by answering competency questions.This semantic model consists of classes and relations from a number of existing ontologies, including Workflow4ever, PROV, EDAM, and BPMN.This allowed us then to formulate and answer new kinds of competency questions.Our evaluation shows the high degree to which our FAIRified OpenPREDICT workflow now adheres to the FAIR principles and the practicality and usefulness of being able to answer our new competency questions.","","","","10.7287/peerj-cs.281v0.1/reviews/2","https://consensus.app/papers/peer-review-2-of-towards-fair-protocols-and-workflows-the/573c71ddee3c5be8ae7e5aabeed7206c/"
"FAIR Design Jam: A Case Study on Co-Creating Communication About FAIR Data Principles","The Design Jam method effectively helps experts and policymakers create user-friendly solutions for implementing FAIR Data Principles, facilitating collaboration and promoting FAIR data adoption.","P. Forsström, Helena Haapio, S. Passera",2017,2,"While many researchers are interested in making their data open, it is not always clear what they should do to ensure that their data is FAIR: Findable, Accessible, Interoperable and Reusable. This paper reports how we applied the Design Jam method to help experts and policymakers ideate user-friendly solutions to implement the FAIR Data Principles into simple and actionable instructions for researchers. We suggest that visual prototyping and co-design methods can be successfully used in policy implementation to facilitate collaboration while exploring and concretizing complex ideas.","","","","10.2139/SSRN.2932831","https://consensus.app/papers/fair-design-jam-a-case-study-on-cocreating-communication-forsstr%C3%B6m-haapio/4ac7b8b145d653f48ed42c427d535ee6/"
"FFMDFPA: A FAIRification Framework for Materials Data with No-Code Flexible Semi-Structured Parser and Application Programming Interfaces","The FFMDFPA framework efficiently utilizes and reuses materials data by extracting and transforming semistructured data without coding, promoting FAIR principles in data-driven materials science.","Bing He, Zhuming Gong, M. Avdeev, Siqi Shi",2023,3,"The FAIR Data Principles are guidelines to ensure Findability, Accessibility, Interoperability, and Reusability of digital resources, which are essential to accelerate data-driven materials science. Despite the development and growing adoption of the FAIR principles, appropriate implementation solutions and software to make data FAIR are still sparse, particularly in standardization of heterogeneous data and subsequent data access. Here, we introduce a FAIRification Framework for Materials Data with No-Code Flexible Semi-Structured Parser and API (FFMDFPA) (API, application programming interface) for raw data processing. Using a template-based parser, FFMDFPA can extract and transform semistructured data in various text formats, providing the flexibility to extend data manipulation without coding. Additionally, FFMDFPA provides a standardized API with efficient query syntax that facilitates seamless data sharing. Taking various text files generated by computational software as examples, we demonstrate the potential utility of FFMDFPA. This work offers important insights toward efficient utilization and reuse of materials data, and the data semantic manipulation implemented in the parser and API can be extended to textual data, which has implications for future data FAIRification.","","Journal of chemical information and modeling","1","10.1021/acs.jcim.3c00836","https://consensus.app/papers/ffmdfpa-a-fairification-framework-for-materials-data-with-gong-shi/1493976a67b65220b7f63843cef3ef3c/"
"FAIRifying a scholarly publishing service: Methodology based on the OpenEdition's internal FAIR audit","OpenEdition's internal FAIR review identified priorities for improving persistent identifiers and licensing policies, while also addressing author information management, controlled vocabularies, machine-actionability, and Digital Management Plans.","Karla Avanço, A. Gingold",2022,1,"The FAIR principles (Findability, Accessibility, Interoperability, and Reusability) constitute a guide whose aim is to improve the management of digital scholarly resources. Nevertheless, the literature regarding data services other than data repositories is still scarce.OpenEdition is a digital infrastructure for open scholarly communication in the Social Sciences and Humanities (SSH) that carried out an internal full review to assess the degree of FAIRness of its activities. The objective of this paper is to present the methodology employed by OpenEdition’s team and the recommendations for the FAIRification of a publishing system, and hence, the elements for the FAIR Publishing Toolkit. The FAIR review was conducted in three main phases: preparation, assessment, and result phase, which listed the recommendations for the FAIR principles implementation. The preparation phase gathered the available information to define the perimeter of the FAIR review. It comprised two steps: the landscape study and the exam of actual use cases. The assessment phase contextualized the FAIR principles according to the scholarly publishing context, defined the datasets to be analyzed, carried outa FAIR maturity review per dataset, and analyzed the state of the art of some important FAIR-related elements. The result phase produced the recommendations, organized as priorities and extended objectives. The priority recommendations regard persistent identifiers and licensing policies. The extended objectives focus on authors' information management, controlled vocabularies, machine-actionability, and Digital Management Plans.","","J. Electron. Publ.","4","10.3998/jep.1540","https://consensus.app/papers/fairifying-a-scholarly-publishing-service-methodology-gingold-avan%C3%A7o/dde7ebd6e2b252b6837d8a94097fcfbc/"
"FAIR and Quality Assured Data - The Use Case of Trueness","The FAIR-Q extension should include quality assurance for data collections, as current guidelines only focus on transparency, not data quality.","J. Stausberg, Sonja Harkener, E. Jenetzky, Patrick Jersch, David D Martin, Rüdiger Rupp, M. Schönthaler",2022,7,"The FAIR Guiding Principles do not address the quality of data and metadata. Therefore, data collections could be FAIR but useless. In a funding initiative of registries for health services research, trueness of data received special attention. Completeness in the definition of recall was selected to represent this dimension in a cross-registry benchmarking. The first analyses of completeness revealed a diversity of its implementation. No registry was able to present results exactly as requested in a guideline on data quality. Two registries switched to a source data verification as alternative, the three others downsized to the dimension integrity. The experiences underline that the achievement of appropriate data quality is a matter of costs and resources, whereas the current Guiding Principles quote for a transparent culture regarding data and metadata. We propose the extension to FAIR-Q, data collections should not only be findable, accessible, interoperable, and reusable, but also quality assured.","","Studies in health technology and informatics","3","10.3233/shti210850","https://consensus.app/papers/fair-and-quality-assured-data-the-use-case-of-trueness-martin-jenetzky/7d4d4e5541a257ca8d1bceeca4136a66/"
"Assessment of FAIR (Findability, Accessibility, Interoperability, and Reusability) data implementation frameworks: a parametric approach","Most FAIR implementation frameworks focus on technology, ignoring social aspects and needing more people-first approaches to better support the four foundational principles of FAIR.","Ranjeet Kumar Singh, Akanksha Nagpal, Arun Jadhav, D. Madalli",2024,0,"Open science movement has established reproducibility, transparency, and validation of research outputs as essential norms for conducting scientific research. It advocates for open access to research outputs, especially research data, to enable verification of published findings and its optimum reuse. The FAIR (Findable, Accessible, Interoperable, and Reusable) data principles support the philosophy of open science and have emerged as a foundational framework for making digital assets machine-actionable and enhancing their reusability and value in various domains, particularly in scientific research and data management. In response to the growing demand for making data FAIR, various FAIR implementation frameworks have been developed by various organizations to educate and make the scientific community more aware of FAIR and its principles and to make the adoption and implementation of FAIR easier. This paper provides a comprehensive review of the openly available FAIR implementation frameworks based on a parametric evaluation of these frameworks. The current work identifies 13 frameworks and compares them against their coverage of the four foundational principles of FAIR, including an assessment of these frameworks against 36 parameters related to technical specifications, basic features, and FAIR implementation features and FAIR coverage. The study identifies that most of the frameworks only offer a step-by-step guide to FAIR implementation and seem to be adopting the technology-first approach, mostly guiding the deployment of various tools for FAIR implementation. Many frameworks are missing the critical aspects of explaining what, why, and how for the four foundational principles of FAIR, giving less consideration to the social aspects of FAIR. The study concludes that more such frameworks should be developed, considering the people-first approach rather than the technology-first.","literature review","ArXiv","","10.48550/arXiv.2504.06268","https://consensus.app/papers/assessment-of-fair-findability-accessibility-jadhav-singh/b916c847433c58d8b819f21454d594c7/"
"(Deep) FAIR mathematics","Deep FAIR principles, which accommodate the special needs of mathematical datasets, can improve the accessibility and discoverability of research data in mathematics.","Katja Berčič, M. Kohlhase, Florian Rabe",2020,3,"Abstract In this article, we analyze the state of research data in mathematics. We find that while the mathematical community embraces the notion of open data, the FAIR principles are not yet sufficiently realized. Indeed, we claim that the case of mathematical data is special, since the objects of interest are abstract (all properties can be known) and complex (they have a rich inner structure that must be represented). We present a novel classification of mathematical data and derive an extended set of FAIR requirements, which accomodate the special needs of math datasets. We summarize these as deep FAIR. Finally, we show a prototypical system infrastructure, which can realize deep FAIRness for one category (tabular data) of mathematical datasets.","","it - Information Technology","2","10.1515/itit-2019-0028","https://consensus.app/papers/deep-fair-mathematics-kohlhase-ber%C4%8Di%C4%8D/468a2c15b77e506693406ab09cb77fab/"
"Data integration and FAIR data management in Solid Earth Science","The EPOS data portal successfully integrates 220 services in a FAIR way, highlighting the need for reference architectures, a data management framework, and FAIR principles to extend beyond technical aspects.","D. Bailo, K. Jeffery, K. Atakan, L. Trani, R. Paciello, Valerio Vinciarelli, J. Michałek, A. Spinuso",2022,7,"Integrated use of multidisciplinary data is nowadays a recognized trend in scientific research, in particular in the domain of solid Earth science where the understanding of a physical process is improved and made complete by different types of measurements – for instance, ground acceleration, SAR imaging, crustal deformation – describing a physical phenomenon. FAIR principles are recognized as a means to foster data integration by providing a common set of criteria for building data stewardship systems for Open Science. However, the implementation of FAIR principles raises issues along dimensions like governance and legal beyond, of course, the technical one. In the latter, in particular, the development of FAIR data provision systems is often delegated to Research Infrastructures or data providers, with support in terms of metrics and best practices offered by cluster projects or dedicated initiatives. In the current work, we describe the approach to FAIR data management in the European Plate Observing System (EPOS), a distributed research infrastructure in the solid Earth science domain that includes more than 250 individual research infrastructures across 25 countries in Europe. We focus in particular on the technical aspects, but including also governance, policies and organizational elements, by describing the architecture of the EPOS delivery framework both from the organizational and technical point of view and by outlining the key principles used in the technical design. We describe how a combination of approaches, namely rich metadata and service-based systems design, are required to achieve data integration. We show the system architecture and the basic features of the EPOS data portal, that integrates data from more than 220 services in a FAIR way. The construction of such a portal was driven by the EPOS FAIR data management approach, that by defining a clear roadmap for compliance with the FAIR principles, produced a number of best practices and technical approaches for complying with the FAIR principles. Such a work, that spans over a decade but concentrates the key efforts in the last 5 years with the EPOS Implementation Phase project and the establishment of EPOS-ERIC, was carried out in synergy with other EU initiatives dealing with FAIR data. On the basis of the EPOS experience, future directions are outlined, emphasizing the need to provide i) FAIR reference architectures that can ease data practitioners and engineers from the domain communities to adopt FAIR principles and build FAIR data systems; ii) a FAIR data management framework addressing FAIR through the entire data lifecycle, including reproducibility and provenance; and iii) the extension of the FAIR principles to policies and governance dimensions. .","","Annals of Geophysics","3","10.4401/ag-8742","https://consensus.app/papers/data-integration-and-fair-data-management-in-solid-earth-vinciarelli-bailo/78d0d93a3208556db13145e62277985b/"
"Investigating the FAIRness of Science and Technology Open Data: A Focus in the Scandinavian Countries","Scandinavian open data portals show promise for science and technology open data, but challenges need to be addressed to fully leverage its benefits.","Fisnik Dalipi, Mexhid Ferati, Arianit Kurti, Zenun Kastrati",2022,0,"Providing researchers and other users access to data can accelerate knowledge discovery and enhance research transparency and reliability. In this context, the FAIR vision was formulated with the goal to optimize data sharing and reuse by humans and machines. In this paper, we investigate Scandinavian open data portals using FAIR data principles. We review and analyze the current state of datasets categorized as “Science and Technology” since in our view, such data is particularly relevant for reusability. Additionally, this study aims to further highlight and understand any specific challenges related to suitability of scientific data according to FAIR principles. Our findings highlight that, while the possibilities of open data from the science and technology domain are very promising, there are still a plethora of challenges we’ve discovered, and that need to be tackled in order to truly leverage the benefits.","literature review","","","10.1007/978-3-031-06417-3_38","https://consensus.app/papers/investigating-the-fairness-of-science-and-technology-open-kastrati-ferati/ed9e5015fab35a35a5ad27e4d1428b50/"
"Building School Data Equity, Infrastructure, and Capacity Through FAIR Data Standards: Findable, Accessible, Interoperable, and Reusable","FAIR data standards in education improve equity and data reuse by making data Findable, Accessible, Interoperable, and Reusable (FAIR).","Alex J. Bowers, Yeonsoo Choi",2023,1,"Despite increasing calls to build equitable data infrastructures, the education field has yet to have a shared guideline around equitable education data management and stewardship. To address this gap, we propose one framework from the data governance literature: the FAIR (Findable, Accessible, Interoperable, Reusable) data management principles complemented by the CARE (Collective benefits, Authority to control, Responsibility, Ethics) principles. We argue that making education data Findable, Accessible, Interoperable, and Reusable (FAIR) is a matter of equity and central to equity-focused data reuse. We illustrate the importance of FAIR education data by synthesizing our research experience and literature at the intersection of data governance and equity-focused data use.","","Educational Researcher","1","10.3102/0013189X231181103","https://consensus.app/papers/building-school-data-equity-infrastructure-and-capacity-bowers-choi/b012d2d4f6175bdfac5450733aaacbc3/"
"Peer Review #1 of ""Towards FAIR protocols and workflows: the OpenPREDICT use case (v0.1)""","Applying FAIR principles to workflows and protocols, such as the PREDICT drug repurposing workflow, significantly enhances their openness and usefulness for researchers.","P. Rocca-Serra",2020,0,"It is essential for the advancement of science that researchers share, reuse and reproduce each others workflows and protocols.The FAIR principles are a set of guidelines that aim to maximize the value and usefulness of research data, and emphasize a number of important points regarding the means by which digital objects are found and reused by others.The question of how to apply these principles not just to data but also to the workflows and protocols that consume and produce them is still under debate and poses a number of challenges.In this paper we describe an inclusive and overarching approach to apply the FAIR principles to workflows and protocols and demonstrate its benefits.We apply and evaluate our approach to make the PREDICT workflow, a highly cited drug repurposing workflow, open and FAIR.This includes FAIRification of the involved datasets, as well as applying semantic technologies to represent and store data about the detailed versions of the general protocol, of the concrete workflow instructions, and of their execution traces.A semantic model was proposed to better address these specific requirements and was evaluated by answering competency questions.This semantic model consists of classes and relations from a number of existing ontologies, including Workflow4ever, PROV, EDAM, and BPMN.This allowed us then to formulate and answer new kinds of competency questions.Our evaluation shows the high degree to which our FAIRified OpenPREDICT workflow now adheres to the FAIR principles and the practicality and usefulness of being able to answer our new competency questions.","","PeerJ","1","10.7287/PEERJ-CS.281V0.1/REVIEWS/1","https://consensus.app/papers/peer-review-1-of-towards-fair-protocols-and-workflows-the-rocca-serra/7e72d4cfad21579d861f62a3a4081b8b/"
"The Principles of Data Reuse in Research Infrastructures","FAIR principles, along with conceptual modeling based on formal domain specifications, have good potential for data reuse in research infrastructures, making heterogeneous data management and research more effective and automated.","N. Skvortsov",2021,0,"The principles known by FAIR abbreviation have been applied for different kinds of data management technologies to support data reuse. In particular, 
they are important for investigations and development in research infrastructures 
but applied in significantly different ways. These principles are recognized as 
prospective since, according to them, data in the context of reuse should be readable and actionable by both humans and machines. The review of solutions for 
data interoperability and reuse in research infrastructures is presented in the paper. It is shown that conceptual modeling based on formal domain specifications 
still has good potential for data reuse in research infrastructures. It allows to relate 
data, methods, and other resources semantically, classify and identify them in the 
domain, integrate and verify the correctness of data reuse. Infrastructures based 
on formal domain modeling can make heterogeneous data management and research significantly more effective and automated.","","","","10.51218/1613-0073-2990-62-74","https://consensus.app/papers/the-principles-of-data-reuse-in-research-infrastructures-skvortsov/7481a86ee733513ab8fa139058a116c2/"
"Updating Linked Data practices for FAIR Digital Object principles","FDO principles can be achieved using existing Linked Data standards, but specific principles (FDOF1-FDOF) require further development.","S. Soiland-Reyes, L. J. Castro, D. Garijo, Marc Portier, C. Goble, Paul Groth",2022,4,"
 Background
 
 The FAIR principles (Wilkinson et al. 2016) are fundamental for data discovery, sharing, consumption and reuse; however their broad interpretation and many ways to implement can lead to inconsistencies and incompatibility (Jacobsen et al. 2020).
 The European Open Science Cloud (EOSC) has been instrumental in maturing and encouraging FAIR practices across a wide range of research areas. Linked Data in the form of RDF (Resource Description Framework) is the common way to implement machine-readability in FAIR, however the principles do not prescribe RDF or any particular technology (Mons et al. 2017).
 
 FAIR Digital Object
 
 FAIR Digital Object (FDO) (Schultes and Wittenburg 2019) has been proposed to improve researcher’s access to digital objects through formalising their metadata, types, identifiers and exposing their computational operations, making them actionable FAIR objects rather than passive data sources. 
 FDO is a set of principles (Bonino et al. 2019), implementable in multiple ways. Current realisations mostly use Digital Object Interface Protocol (DOIPv2) (DONA Foundation 2018), with the main implementation CORDRA. We can consider DOIPv2 as a simplified combination of object-oriented (CORBA, SOAP) and document-based (HTTP, FTP) approaches.
 More recently, the FDO Forum has prepared detailed recommendations, currently open for comments, including a DOIP endorsement and updated FDO requirements. These point out Linked Data as another possible technology stack, which is the focus of this work.
 
 Linked Data
 
 Linked Data standards (LD), based on the Web architecture, are commonplace in sciences like bioinformatics, chemistry and medical informatics – in particular to publish Open Data as machine-readable resources. LD has become ubiquitous on the general Web, the schema.org vocabulary is used by over 10 million sites for indexing by search engines – 43% of all websites use JSON-LD.
 Although LD practices align to FAIR (Hasnain and Rebholz-Schuhmann 2018), they do not fully encompass active aspects of FDOs. The HTTP protocol is used heavily for applications (e.g. mobile apps and cloud services), with REST APIs of customised JSON structures. Approaches that merge the LD and REST worlds include Linked Data Platform (LDP), Hydra and Web Payments.
 
 Meeting FDO principles using Linked Data standards
 
 Considering the potential of FDOs when combined with the mature technology stack of LD, here we briefly discuss how FDO principles in Bonino et al. (2019) can be achieved using existing standards. The general principles (G1–G9) apply well: Open standards with HTTP being stable for 30 years, JSON-LD is widely used, FAIR practitioners mainly use RDF, and a clear abstraction between the RDF model with stable bindings available in multiple serialisations. 
 However, when considering the specific principles (FDOF1–FDOF12) we find that additional constraints and best practices need to be established – arbitrary LD resources cannot be assumed to follow FDO principles. This is equivalent to how existing use of DOIP is not FDO-compliant without additional constraints.
 Namely, persistent identifiers (PIDs) (McMurry et al. 2017) (FDOF1) are common in LD world (e.g. using http://purl.org/ or https://w3id.org/), however they don’t always have a declared type (FDOF2), or the PID may not even appear in the metadata. URL-based PIDs are resolvable (FDOF3), typically over HTTP using redirections and content-negotiation. One great advantage of RDF is that all attributes are defined semantic artefacts with PIDs (FDOF4), and attributes can be reused across vocabularies. 
 While CRUD operations (FDOF6) are supported by native HTTP operations (GET/PUT/POST/DELETE) as in LDP , there is little consistency on how to define operation interfaces in LD (FDOF5). Existing REST approaches like OpenAPI and URI templates are mature and good candidates, and should be related to defined types to support machine-actionable composition (FDOF7). HTTP error code 410 Gone is used in tombstone pages for removed resources (FDOF12), although more frequent is 404 Not Found.
 Metadata is resolved to HTTP documents with their own URIs, but these frequently don’t have their own PID (FDOF8). RDF-Star and nanopublications (Kuhn et al. 2021) give ways to identify and trace provenance of individual assertions. 
 Different metadata levels (FDOF9) are frequently developed for LD vocabularies across different communities (FDOF10), such as FHIR for health data, Bioschemas for bioinformatics and >1000 more specific bioontologies. Increased declaration and navigation of profiles is therefore essential for machine-actionability and consistent consumption across FAIR endpoints. 
 Several standards exist for rich collections (FDOF11), e.g. OAI-ORE, DCAT, RO-Crate, LDP. These are used and extended heterogeneously across the Web, but consistent machine-actionable FDOs will need specific choices of core standards and vocabularies. Another challenge is when multiple PIDs refer to “almost the same” concept in different collections – significant effort have created manual and automated semantic mappings (Baker et al. 2013, de Mello et al. 2022).
 Currently the FDO Forum has suggested the use of LDP as a possible alternative for implementing FAIR Digital Objects (Bonino da Silva Santos 2021), which proposes a novel approach of content-negotiation with custom media types. 
 
 Discussion
 
 The Linked Data stack provides a set of specifications, tools and guidelines in order to help the FDO principles become a reality. This mature approach can accelerate uptake of FDO by scholars and existing research infrastructures such as the European Open Science Cloud (EOSC). 
 However, the amount of standards and existing metadata vocabularies poses a potential threat for adoption and interoperability. Yet, the challenges for agreeing on usage profiles apply equally to DOIP as LD approaches.
 We have worked with different scientific communities to define RO-Crate (Soiland-Reyes et al. 2022), a lightweight method to package research outputs along with their metadata. While RO-Crate’s use of schema.org shows just one possible metadata model, it's powerful enough to be able to express FDOs, and familiar to web developers.
 We have also used FAIR Signposting (Van de Sompel et al. 2022) with HTTP Link: headers as a way to support navigation to the individual core properties of an FDO (PID, type, metadata, licence, bytestream) that does not require heuristics of content-negotiation and is agnostic to particular metadata vocabularies and serialisations.
 We believe that by adopting Linked Data principles, we can accelerate FDO today – and even start building practical ways to assist scientists in efficiently answering topical questions based on knowledge graphs.","","Research Ideas and Outcomes","","10.3897/rio.8.e94501","https://consensus.app/papers/updating-linked-data-practices-for-fair-digital-object-portier-castro/f80565a474c3505d894d75138850aa49/"
"Changing Data Policies in China: Implications for Enabling FAIR Data","China's data policies are improving, but more efforts are needed for FAIR open data, including data culture, trustworthiness, sustainability, and multilateral cooperation among stakeholders.","Lili Zhang, R. Downs, Jianhui Li",2018,0,"As fundamental resources of research activities, data is vitally important for scientific progress and general social society. Thus, open data practices are becoming more prevalent and the adoption of the FAIR (Findable, Accessible, Interoperable, and Reusable) principles is fostering open access data from four general perspectives. This paper firstly analyzes the general benefits and necessities of open data and the FAIR principles. Then, data policies in China are described from four views. Subsequently, challenges and opportunities for data usability across disciplinary boundaries and levels of expertise are described. Finally, categories are presented for how data policies in China enable FAIR data in terms of the four views of Chinese data policies. Above all, FAIR data is a good beginning, and for FAIR open data, we still need more efforts on intrinsic data culture, trustworthiness, sustainability, and multilateral cooperation among various stakeholders, as well as consistent and effective approaches for adopting data policies.","","","","10.1007/978-3-030-28061-1_28","https://consensus.app/papers/changing-data-policies-in-china-implications-for-enabling-zhang-li/4b273ae1e3be5137a58852a76241a93c/"
"FAIR Data and Services in Biodiversity Science and Geoscience","The Digital Object Architecture (DOA) data model and components can create a seamless virtual collection of biological and geological specimen data, adherence to FAIR principles.","L. Lannom, D. Koureas, A. Hardisty",2020,61,"We examine the intersection of the FAIR principles (Findable, Accessible, Interoperable and Reusable), the challenges and opportunities presented by the aggregation of widely distributed and heterogeneous data about biological and geological specimens, and the use of the Digital Object Architecture (DOA) data model and components as an approach to solving those challenges that offers adherence to the FAIR principles as an integral characteristic. This approach will be prototyped in the Distributed System of Scientific Collections (DiSSCo) project, the pan-European Research Infrastructure which aims to unify over 110 natural science collections across 21 countries. We take each of the FAIR principles, discuss them as requirements in the creation of a seamless virtual collection of bio/geo specimen data, and map those requirements to Digital Object components and facilities such as persistent identification, extended data typing, and the use of an additional level of abstraction to normalize existing heterogeneous data structures. The FAIR principles inform and motivate the work and the DO Architecture provides the technical vision to create the seamless virtual collection vitally needed to address scientific questions of societal importance.","","Data Intelligence","1","10.1162/dint_a_00034","https://consensus.app/papers/fair-data-and-services-in-biodiversity-science-and-hardisty-koureas/043228ef3e5c52cd9a0c7d58cf2e6db3/"
"Toward Findable, Accessible, Interoperable and Reusable (FAIR) Photovoltaic System Time Series Data","FAIR principles can enhance the reusability of photovoltaic time series data by separating data and metadata, registering them in a data repository, and developing secure APIs for data access.","A. Nihar, A. Curran, A. M. Karimi, J. Braid, L. Bruckman, Mehmet Koyutürk, Yinghui Wu, R. French",2021,5,"We present the application of FAIR principles to photovoltaic time series data to increase their reusability within the photovoltaic research community. The main requirements for a ""FAIRified"" dataset is to have a clearly defined data format, and to make accessible all metadata for this dataset to humans and machines. To achieve FAIRification, we implement a data model that separates the photovoltaic data and its metadata. The metadata and their descriptions are registered on a data repository in a human and machine readable format, using JSON-LD. Also, secure APIs are developed to access photovoltaic data. This approach has long term scalability and maintainability.","","2021 IEEE 48th Photovoltaic Specialists Conference (PVSC)","","10.1109/PVSC43889.2021.9518782","https://consensus.app/papers/toward-findable-accessible-interoperable-and-reusable-wu-curran/bc1594e23e015087af9cb2355f31d8b8/"
"A Taxonomy of Tools and Approaches for FAIRification","This paper identifies and organizes 477 tools and approaches supporting FAIRification, highlighting significant classes of instruments supporting FAIRification in diverse contexts.","D. Mangione, Leonardo Candela, D. Castelli",2022,5,"The FAIR principles have drawn a lot of attention since their publication in 2016. A broad range of stakeholders is confronting the implementation of these guiding principles in diverse contexts. This paper identifies and discusses the tools and approaches emerging from stakeholders’ experiences adopting the FAIR principles in practice. In particular, 225 open access grey literature papers (namely, deliverables, milestones and data management plans) on FAIRification have been scrutinised to infer tools and approaches in use. The wealth of emerging tools (477) has been carefully analysed and organised into a comprehensive map highlighting the significant classes of instruments supporting FAIRification. A critical discussion on this collection of tools and approaches and the FAIRification completes the paper.","literature review","","","","https://consensus.app/papers/a-taxonomy-of-tools-and-approaches-for-fairification-mangione-candela/1f1e9e706341539c908f1b4cd18db958/"
"FAIR4Health: Findable, Accessible, Interoperable and Reusable data to foster Health Research","The FAIR4Health project successfully made health research data more accessible, interoperable, and reusable, potentially impacting health outcomes and social care research.","Celia Álvarez-Romero, A. Martínez-García, A. Sinaci, M. Gencturk, Eva Méndez, Tony Hernández-Pérez, Rosa Liperoti, C. Angioletti, Matthias Löbe, Nagarajan Ganapathy, T. Deserno, M. Almada, E. Costa, C. Chronaki, Giorgio Cangioli, R. Cornet, B. Poblador-Plou, J. Carmona-Pírez, A. Gimeno-Miguel, A. Poncel-Falcó, A. Prados-Torres, T. Kovačević, B. Zarić, D. Bokan, S. Hromis, J. Djekic Malbasa, Carlos Rapallo Fernández, Teresa Velázquez Fernández, Jessica Rochat, C. Gaudet-Blavignac, C. Lovis, P. Weber, Miriam Quintero, Manuel M. Pérez-Pérez, Kevin D. Ashley, Laurence Horton, C. L. Parra Calderón",2022,12,"Due to the nature of health data, its sharing and reuse for research are limited by ethical, legal and technical barriers. The FAIR4Health project facilitated and promoted the application of FAIR principles in health research data, derived from the publicly funded health research initiatives to make them Findable, Accessible, Interoperable, and Reusable (FAIR). To confirm the feasibility of the FAIR4Health solution, we performed two pathfinder case studies to carry out federated machine learning algorithms on FAIRified datasets from five health research organizations. The case studies demonstrated the potential impact of the developed FAIR4Health solution on health outcomes and social care research. Finally, we promoted the FAIRified data to share and reuse in the European Union Health Research community, defining an effective EU-wide strategy for the use of FAIR principles in health research and preparing the ground for a roadmap for health research institutions. This scientific report presents a general overview of the FAIR4Health solution: from the FAIRification workflow design to translate raw data/metadata to FAIR data/metadata in the health research domain to the FAIR4Health demonstrators’ performance.","","Open Research Europe","2","10.12688/openreseurope.14349.2","https://consensus.app/papers/fair4health-findable-accessible-interoperable-and-m%C3%A9ndez-%C3%A1lvarez-romero/f67f0729fb245540b35152413d68a387/"
